Dateset No,Starting Date,Ending Date,Days Corvered,Number of Records,Average Records Per Day
0,1961-01-03 6:00,1964-08-25 2:00,1330,10000,7.518796992
1,1964-08-25 3:00,1968-04-29 22:00,1343,10000,7.446016381
2,1968-04-29 23:00,1971-11-05 0:00,1285,10000,7.782101167
3,1971-11-05 1:00,1975-08-23 11:00,1387,10000,7.209805335
4,1975-08-23 12:00,1978-11-22 11:00,1187,10000,8.424599832
5,1978-11-22 12:00,1982-05-28 3:00,1283,10000,7.794232268
6,1982-05-28 4:00,1985-09-20 19:00,1211,10000,8.257638315
7,1985-09-20 20:00,1988-05-05 22:00,958,10000,10.43841336
8,1988-05-05 23:00,1989-06-26 14:00,417,10000,23.98081535
9,1989-06-26 15:00,1990-08-17 6:00,417,10000,23.98081535
10,1990-08-17 7:00,1991-10-07 22:00,416,10000,24.03846154
11,1991-10-07 23:00,1992-11-27 14:00,417,10000,23.98081535
12,1992-11-27 15:00,1994-01-18 6:00,417,10000,23.98081535
13,1994-01-18 7:00,1995-03-11 8:00,417,10000,23.98081535
14,1995-03-11 9:00,1996-05-01 10:00,417,10000,23.98081535
15,1996-05-01 11:00,1997-06-22 23:00,417,10000,23.98081535
16,1997-06-23 0:00,1998-08-14 10:00,417,10000,23.98081535
17,1998-08-14 11:00,1999-10-05 14:00,417,10000,23.98081535
18,1999-10-05 15:00,2000-11-29 20:00,421,10000,23.75296912
19,2000-11-29 21:00,2002-01-20 15:00,417,10000,23.98081535
20,2002-01-20 16:00,2003-03-13 10:00,417,10000,23.98081535
21,2003-03-13 11:00,2004-05-03 3:00,417,10000,23.98081535
22,2004-05-03 4:00,2005-06-23 19:00,416,10000,24.03846154
23,2005-06-23 20:00,2006-08-14 11:00,417,10000,23.98081535
24,2006-08-14 12:00,2007-10-05 3:00,417,10000,23.98081535
25,2007-10-05 4:00,2008-11-24 19:00,416,10000,24.03846154
26,2008-11-24 20:00,2010-01-15 12:00,417,10000,23.98081535
27,2010-01-15 13:00,2011-03-08 4:00,417,10000,23.98081535
28,2011-03-08 5:00,2012-04-27 21:00,416,10000,24.03846154
29,2012-04-27 22:00,2013-06-15 23:00,414,10000,24.15458937
30,2013-06-16 0:00,2014-08-07 6:00,417,10000,23.98081535
31,2014-08-07 7:00,2015-09-28 14:00,417,10000,23.98081535
32,2015-09-28 15:00,2016-11-18 21:00,417,10000,23.98081535
33,2016-11-18 22:00,2018-01-10 5:00,418,10000,23.92344498
34,2018-01-10 6:00,2019-03-03 10:00,417,10000,23.98081535
35,2019-03-03 11:00,2020-04-23 9:00,417,10000,23.98081535
36,2020-04-23 10:00,2021-06-14 13:00,417,10000,23.98081535
37,2021-06-14 14:00,2022-07-09 23:00,390,9366,24.01538462
